-734.31 -521.68 -520.19 === -518.44 -521.87 -523.78 -527.07 -535.20 -538.07 -544.80 === === === === === -609.34 -624.21 === -641.72 === === -695.90 -714.88 -725.78 
-519.56 -57.62 -48.63 -43.81 -43.08 -65.96 === -101.58 -123.48 -144.16 === -206.79 -220.46 -249.90 -276.02 -294.00 -316.20 -328.54 -353.24 -382.16 -403.38 -421.83 -451.89 -483.64 -514.56 
-520.38 -52.74 === === === -63.88 === -100.49 -121.21 -134.96 === === -221.54 -231.06 -254.75 -278.26 -322.18 -329.88 -363.47 -378.47 -412.61 -426.92 -466.25 -478.17 -504.27 
-519.76 === === === === === === -96.66 -130.76 -134.00 === === -216.02 -244.08 -265.75 -299.80 -312.25 -346.36 -350.41 -390.00 -396.05 -430.68 -463.41 -487.22 -513.99 
-518.08 === === === === === === === -124.34 -150.18 -180.46 -187.74 -218.03 -249.38 -272.42 -297.59 -311.00 -348.59 -356.19 -377.41 -396.73 -422.80 -454.09 -480.36 === 
-521.23 -64.94 === === === === === -104.09 -143.02 -143.61 -188.82 -198.88 -230.31 -246.40 -258.50 -304.15 -325.56 -339.22 -375.15 -386.77 -421.18 -445.29 -469.77 -469.75 -511.65 
-526.34 -74.40 === === === === === -130.50 -127.06 -151.88 -174.25 -208.86 -224.27 -250.35 -273.30 -299.73 -325.51 -341.98 -374.25 -388.16 -422.00 -445.34 -453.09 -475.83 -509.92 
-525.30 -107.76 === === === === === -134.66 -150.35 -163.84 === -215.97 -241.42 -261.58 -277.50 -294.84 -333.16 -349.40 -373.36 -403.00 -423.76 -445.47 -477.97 -496.14 -508.96 
-536.13 === === === === === === -164.24 -183.37 -194.64 === === -255.42 -267.99 -305.29 -310.33 -330.99 -352.21 -373.74 -400.38 -431.05 -455.09 -473.86 -507.35 -529.29 
-539.55 -139.28 === === === === === -168.50 -176.37 === === === -265.71 -278.99 -306.41 -314.22 -331.84 -356.71 -394.11 -402.81 === === -476.39 -491.72 -528.28 
=== -174.25 === === === === === === === -225.66 === === -274.28 -287.53 -312.58 -337.53 -344.41 -382.88 -408.27 -432.70 -447.97 -470.80 -479.19 -502.24 -526.68 
-553.05 === === === === === === === === === === -272.61 -289.67 -317.34 -334.38 === -357.45 -389.01 -410.71 -432.48 -441.26 -466.91 -496.67 -509.00 -543.80 
-558.43 === === -217.39 === === === === === === === === -313.84 -320.90 -347.77 -361.18 -375.43 -388.25 -436.11 -429.18 -477.07 -482.56 -493.34 === -542.13 
-575.94 -252.73 === -229.28 === === -243.08 === === === === === === -340.46 -358.90 -375.85 === -415.38 -423.51 -456.00 -470.99 -484.09 === -533.38 === 
=== === -268.97 -255.55 === === === === === === === === === -363.20 -371.49 -379.49 -408.15 -435.94 -445.99 -471.58 -475.79 -502.65 -522.05 === === 
=== === -300.23 -299.98 -296.09 === === === === === === === === === -396.61 -420.16 === === -457.61 === === === === -555.40 === 
=== === -316.26 -311.85 === === === === === === === === === === -414.40 -422.94 -446.23 -453.97 -480.97 -494.45 === === === === === 
=== === -339.28 -344.65 === === === === === === === === === === === -442.53 -454.74 -479.45 -487.56 -501.20 -532.93 === === === === 
=== === -349.18 === === === === === === === === === === === === -457.66 -487.17 -495.54 === -530.00 -533.83 === === === === 
=== -376.57 -373.55 === === === === === === === === === === === === === -498.25 -517.43 -538.14 === -573.16 === === === === 
=== === -403.41 -400.85 === === === === === === === === === === === -497.95 === -535.52 -547.95 -570.02 -571.42 -597.69 === === === 
=== === === === === === === === === === === === === === === -523.81 === -562.65 -574.83 -574.73 === -613.81 -622.29 -637.30 === 
=== === === === === === === === === === === === === === === === === -568.63 -576.30 -585.29 -617.23 -627.61 -643.16 -668.27 === 
=== === === === === === === === === === === === === === -543.60 === === === -591.13 -614.56 -614.96 -643.69 -672.26 -686.71 -700.68 
-730.24 -507.56 === === === === === === -529.32 === === === === === === === === -620.59 -622.55 -631.57 === === -671.92 === -721.38 
