-732.67 -521.32 -519.03 -519.10 -518.25 -520.34 -520.85 -525.21 -533.41 === === -554.44 === -570.11 -583.41 === === -621.07 === -652.27 -660.75 -683.24 -692.71 -703.27 -728.40 
-520.20 -57.30 -52.72 -41.43 -51.49 -60.91 === -106.16 -119.68 -152.14 === -208.18 -213.89 -238.00 -276.54 -301.43 -325.48 -328.75 -354.40 -398.21 -404.37 -435.67 -452.76 -486.99 -514.98 
-517.39 -48.78 -32.47 -31.72 -24.22 -49.25 === -99.94 -114.91 -159.44 -165.45 -184.60 -224.89 -252.10 -263.51 -285.78 -323.49 -331.25 -356.68 -375.61 -408.78 -423.49 -457.74 -471.45 -501.67 
-517.99 -44.41 -32.41 === -20.44 -48.48 === -100.22 -120.76 -154.88 -157.79 -203.90 -206.24 -249.71 -257.63 -282.14 -319.92 -335.80 -364.55 -390.00 -401.24 -438.00 -465.99 -477.99 -508.26 
-520.32 -53.12 === === === -57.56 -66.64 -100.93 -118.10 -158.46 -164.47 -195.63 -216.31 -237.47 -275.74 -290.18 -323.03 -348.59 -371.84 -373.99 -416.15 -432.03 -448.89 -486.41 -507.62 
-521.71 -68.54 === === === === -76.32 -113.02 -134.11 -148.78 -167.35 -198.28 -222.91 -249.26 -281.82 -297.95 -308.62 -329.76 -361.89 -376.46 -412.50 -443.84 -447.43 -477.34 -509.60 
-523.83 -86.42 === === === === -95.21 -125.52 -143.13 -156.14 -174.26 -197.15 -226.84 -256.77 -280.68 -286.58 -320.64 -345.66 -361.24 -386.75 -417.20 -438.03 -454.95 -479.36 -498.03 
-527.62 -105.14 === === === === === -144.63 -159.99 -171.42 -184.07 -199.62 -225.78 -269.42 -273.40 -310.00 -316.23 -358.41 -359.28 -395.42 -426.12 -450.81 -473.80 -482.37 -521.70 
-533.13 -138.12 === === === === === -165.87 === -199.98 === === === === -304.96 -312.96 -333.27 -361.93 -389.03 -412.72 -426.17 -451.37 -470.01 -496.56 -515.70 
-534.24 -147.81 === === === -163.56 === -169.63 === -197.08 === === === === -307.48 -319.36 -353.04 -372.61 -399.90 -409.38 -434.17 -454.64 -473.90 -513.28 -518.07 
=== -174.59 === === === -180.47 === -196.14 === -237.68 -250.05 -265.47 -286.37 === === -340.48 -357.82 -379.93 -402.94 -418.17 -431.56 -456.97 -479.75 -500.25 -533.50 
-554.12 -206.16 === === === -189.32 === === -222.79 -237.22 -251.20 -260.94 -287.20 -313.70 === === -361.38 -386.90 -402.98 -436.23 -441.15 -473.73 -503.24 -505.77 -548.78 
=== -217.12 -227.12 === -217.63 -207.87 === -229.60 -241.95 === === === -317.33 -322.90 -344.94 === -386.59 -403.19 -407.35 -427.56 -453.65 -483.86 -492.92 === -546.71 
=== -235.16 -245.42 === -246.47 === === -254.78 === === === -320.33 -324.64 -333.30 -357.09 -382.62 === -417.66 -431.88 -464.14 -463.49 -479.44 === -526.42 === 
=== -256.73 -256.19 -262.63 -275.27 -277.78 === -283.67 -287.93 === === -331.49 -329.56 -361.38 -368.03 -391.44 === -426.07 -450.27 -471.21 -471.65 === === === === 
=== -283.19 -281.30 -283.98 === === === -308.01 === === === === === === -398.34 -402.43 === -441.79 -453.80 -475.06 -507.01 === -539.47 -565.11 === 
=== -307.81 -307.22 -316.13 === === === -324.86 === === === === === -400.98 -413.91 -421.84 -446.31 -462.96 -479.33 -482.37 -504.81 === -557.84 -565.52 === 
-615.55 -331.11 === -343.88 -346.35 -332.47 -342.16 === === === === === === -419.45 -432.11 -429.52 -448.61 -466.40 -491.20 === -521.21 === -569.82 -585.69 === 
=== -361.90 === -353.76 -358.75 === -362.77 -370.19 === === === === === -425.04 -437.01 -459.98 -466.86 -494.68 -510.92 === -534.55 -567.83 -578.07 === -615.81 
=== -388.80 === -384.50 === === -399.05 -404.51 === -406.49 === === === === === === -493.49 -499.33 -529.02 === === === === === === 
-657.74 -402.30 === -408.09 === === -404.51 -415.24 -425.16 === === === === === === === -513.88 -516.77 -544.67 -557.81 -581.48 === === -628.83 -660.70 
=== === === === === === -429.63 -439.11 === === === === === === === === === -543.48 -563.48 -577.92 -587.91 === === -648.14 -664.28 
-691.34 -467.14 === === === -456.37 -463.83 -465.29 === === === === -510.65 -502.42 === === -563.19 === -576.37 -597.19 -599.26 -614.78 === -657.11 -677.30 
-700.96 === -491.98 === === -480.45 -472.81 -488.27 === === === === === === === === === === === === === === -663.44 === -706.00 
-724.92 -515.50 -512.00 -508.77 === -509.09 -512.14 -510.15 === === === === === === === === -587.28 -619.58 === === -659.66 -668.58 -670.42 === -711.20 
