-735.53 -521.87 -521.57 === -520.12 === === -524.31 -526.91 -531.48 -538.19 === === === === === -577.06 -587.83 -597.44 -602.82 -616.20 -624.43 === -648.96 -665.55 === -688.77 -694.82 -719.69 -728.48 
-521.90 -58.72 -54.71 -46.73 -41.31 -56.72 -64.12 === -106.68 -125.45 -127.77 -156.94 === -203.99 -207.71 -229.10 -254.40 -281.19 -285.65 -307.48 -337.25 -345.19 -373.10 -386.17 -419.95 -440.14 -446.07 -473.40 -492.39 -505.79 
-520.91 -57.99 -48.24 -34.17 -37.31 -50.77 -53.17 === -105.67 -111.41 -127.46 -151.94 -171.97 === -219.34 -232.15 -242.74 -274.49 -298.20 -301.85 -327.36 -356.97 -380.31 -386.57 -406.09 -429.32 -445.57 -472.10 -497.28 -508.92 
-520.59 === === -13.01 -8.92 === === === -96.55 -104.06 -125.08 -160.40 -171.82 -185.51 === -238.29 -241.92 -263.45 -285.90 -306.32 -326.07 -342.05 -373.10 -382.01 -412.43 -434.00 -445.69 -469.99 -481.66 -517.99 
-520.56 === === === === === === === -94.66 -101.46 -136.67 -149.58 -174.14 -182.93 -220.49 -223.03 -257.36 -279.95 -288.68 -310.62 -327.45 -358.00 -374.34 -390.00 -403.68 -421.89 -456.86 -463.60 -483.43 -511.92 
-520.95 === === -35.56 -28.44 === === === -106.51 -119.23 === -146.08 -177.73 -188.72 -203.41 -224.87 -250.53 === -298.21 -304.22 -333.04 -345.68 -373.81 -387.68 -406.07 -436.15 -441.71 -470.79 -487.44 -502.78 
-523.00 === === -57.54 === -60.62 -72.16 === -109.31 -121.04 -140.35 -146.91 === -195.64 -210.83 -241.62 -263.92 -282.49 -299.72 -304.94 -344.18 -359.90 -374.63 -400.00 -422.89 -429.64 -457.41 -467.72 -500.91 -514.19 
-525.29 === === === === -85.36 === === === -133.03 -149.36 -164.03 -183.09 -203.42 -213.47 -235.84 -267.31 -286.47 -295.82 -314.17 -338.22 -356.80 -386.41 -386.38 -409.68 -446.04 -462.89 -475.83 -493.47 -523.71 
-529.50 -91.90 === === === -97.85 === === === -140.66 -166.57 -172.28 -201.80 -205.10 -230.50 -236.25 -266.69 -280.73 -299.22 -320.69 -339.69 -352.29 -384.85 -406.83 -420.69 -436.38 -463.52 -485.66 -495.59 -526.40 
-530.26 === === === === -109.03 === === === === === === === === === === === === === === === === === -411.17 -428.38 -450.08 -458.55 -493.42 -505.71 -522.48 
-536.13 === === === === -139.78 === === -164.64 -177.46 -181.26 -202.74 -213.22 -237.59 -241.76 -272.51 -278.43 -312.02 -313.50 -338.30 -357.37 -384.97 -384.05 -416.26 -432.97 -440.39 -474.02 -480.87 -503.46 -522.65 
-540.67 === === === === === === === -175.57 -186.14 -209.01 -212.18 === -244.75 === === -281.97 -313.57 -329.20 -341.16 -362.62 -385.93 -401.81 -419.42 -430.16 -454.35 -480.38 -496.35 -513.06 -526.08 
=== === === === -167.57 === === === -190.75 -214.16 -214.35 -228.22 -252.48 -258.59 -276.42 -285.83 -293.70 === -344.16 -358.16 -365.08 -382.65 -407.17 -418.61 -433.35 -458.51 -477.54 -499.49 -509.63 -527.37 
-554.35 === === -191.85 -187.00 -193.27 === -212.51 -198.60 -228.51 -223.45 === -254.31 -267.85 -272.25 -299.56 -320.58 === -349.74 -361.88 -387.52 -391.91 -414.32 -441.35 -448.10 -459.05 -486.97 -499.55 -514.80 -550.15 
-562.40 === === -216.26 -205.40 === === -222.43 -239.00 -237.93 -234.16 === -265.73 -274.61 === -301.84 -323.92 === === -383.25 -395.05 -411.11 -423.73 -440.04 -451.59 -477.27 -487.88 === -537.84 -543.56 
=== === -239.51 -231.55 -221.81 === === -245.49 -252.64 -252.04 === -268.21 === === === === -340.20 -364.73 -370.47 === -405.74 -417.94 -438.43 -453.13 -472.69 -475.98 === -524.23 -531.47 -564.70 
=== === -244.14 -255.11 -248.30 === -265.63 -263.49 -274.81 === === -293.88 -304.00 === === === === -365.36 === === -413.45 -432.72 -439.04 -469.86 -473.21 === -518.84 -523.41 === === 
-583.42 === === -266.44 === === -280.54 -271.65 -282.29 === === -307.34 -306.23 === === === === === === === === -444.62 -454.86 -465.03 -478.40 -509.27 === -540.00 === === 
=== === === -298.92 === === -299.83 -305.47 -299.86 === === -319.40 === === === === === === === -427.27 === -461.08 -475.14 -490.84 -498.78 -517.22 === === === === 
=== === -320.40 -311.65 === === -319.54 -321.96 -324.33 === === === === === === === === === === === === === -487.22 -505.72 -513.59 -528.64 === === === === 
-619.68 === -328.66 -322.04 -329.96 -333.70 === === === === === === === === === === === === === -451.43 === === -500.65 -511.96 -526.17 -540.85 === === === === 
-628.89 -355.08 === -353.12 -352.32 -348.04 === === === === === === === === === === === === === -479.26 === === === -529.31 === === === -591.22 -609.72 === 
-636.91 === === === -361.71 === === === === -395.04 === === === === === === === -465.42 === === === === === === -559.02 === -575.20 -590.71 -617.43 -632.73 
-646.22 === === === -399.05 === === === === -414.12 === === === === === === -468.24 === -489.36 === === -523.51 === === -572.16 === === -615.24 === -649.84 
-662.67 === === === === === === === === -418.42 === === === === === === === === -492.96 === === -539.89 === -571.25 -587.10 === === === -630.96 -652.08 
-672.20 === === === === === === === -443.38 -441.21 === === === === === -496.62 === === -520.70 -531.00 -543.52 === -571.77 === -593.44 === === -638.39 === -678.52 
=== === === === -451.14 === === === === === === === -483.06 -494.75 === -511.19 === === === === === -558.68 -579.99 -597.57 -601.47 === === -638.57 -659.87 -687.90 
=== -469.15 === === -462.63 -476.18 === === -471.46 -474.20 === === -490.68 -499.72 === === -530.12 -539.82 === -569.80 -572.82 -584.85 === -622.83 === === -644.30 -672.37 === -706.90 
=== === -496.82 === === -485.39 -483.96 === -490.67 === === === === -518.65 === === -553.82 -568.60 -571.24 === -596.26 === -615.43 === === -650.38 === -670.87 === -712.94 
-732.25 -514.22 -502.66 === -519.36 === -521.62 -515.72 -520.72 -529.80 -534.16 === === === -564.11 -570.12 -562.05 -579.87 -583.37 -604.91 -614.00 -620.67 -630.71 -634.94 -667.43 -668.40 -685.00 -693.70 -714.88 -717.33 
