## Generation 0 
{'robot_pos': [57.392723083496094, 445.445556640625, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.4543747668725}
{'robot_pos': [55.44544219970703, 447.39288330078125, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -387.41965622416336}
{'robot_pos': [62.6072883605957, 454.554443359375, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -394.5630579859467}
{'robot_pos': [57.37911605834961, 445.44586181640625, 1.3170565366744995], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.45477221592125}
{'robot_pos': [190.0897979736328, 580.0724487304688, 0.7252047061920166], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.0958006413841}
{'robot_pos': [257.6582946777344, 522.5787353515625, -0.15962480008602142], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -503.03865443359416}
{'robot_pos': [60.0, 450.0, 2.585397958755493], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [60.0, 450.0, -1.0146018266677856], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [18.311269760131836, 433.249267578125, 3.018630266189575], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -375.57018781663066}
{'robot_pos': [16.566423416137695, 427.7660217285156, 3.0908515453338623], 'collision': 14, 'exit_reached': 0.0, 'dist_obj': -370.32191713816405}
{'robot_pos': [57.392723083496094, 445.445556640625, 1.3163856267929077], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.4543747668725}
{'robot_pos': [64.5545654296875, 452.6071472167969, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -392.6335646782696}
{'robot_pos': [67.64359283447266, 432.94525146484375, -3.084312915802002], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -373.02357177743437}
{'robot_pos': [55.4454345703125, 447.3928527832031, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -387.41962579838645}
{'robot_pos': [63.385555267333984, 453.34521484375, 0.3099813461303711], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -393.35978445304244}
{'robot_pos': [190.1077880859375, 580.1063232421875, 0.7853976488113403], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1330282654875}
{'robot_pos': [241.2611541748047, 540.84326171875, 2.6837270259857178], 'collision': 148, 'exit_reached': 0.0, 'dist_obj': -513.8733777431057}
{'robot_pos': [64.5545654296875, 452.6071472167969, 0.25441089272499084], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -392.6335646782696}
{'robot_pos': [190.1077880859375, 580.1063232421875, 0.7853981852531433], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1330282654875}
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [300.04486083984375, 472.3888854980469, -0.6854313611984253], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -477.1646760793816}
{'robot_pos': [57.324371337890625, 445.16619873046875, 1.345188021659851], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.1754919945147}
{'robot_pos': [60.0, 450.0, 2.5853984355926514], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0}
{'robot_pos': [57.37356948852539, 445.44268798828125, 1.3172742128372192], 'collision': 0, 'exit_reached': 0.0, 'dist_obj': -385.45163621505503}
{'robot_pos': [190.10769653320312, 580.1063232421875, 0.7855436205863953], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1330060476438}
{'robot_pos': [17.871137619018555, 381.7897644042969, 2.5019805431365967], 'collision': 617, 'exit_reached': 0.0, 'dist_obj': -324.53581238576515}
{'robot_pos': [190.1077880859375, 580.1063232421875, 0.7853981852531433], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1330282654875}
{'robot_pos': [190.0994110107422, 580.1143798828125, 0.7854707837104797], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -536.1388112291672}
{'robot_pos': [16.965240478515625, 549.107177734375, 1.9807511568069458], 'collision': 10, 'exit_reached': 0.0, 'dist_obj': -490.9967635721823}
