=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === -101.27 -107.99 -109.97 -116.35 -121.01 -130.01 -130.96 -138.73 -143.65 -149.60 -156.43 === === === === === === === === -206.51 -211.57 -215.63 -220.19 -227.14 -234.14 -235.46 -246.48 -251.96 -254.39 -259.00 -266.25 -271.85 -280.20 -280.49 -290.24 -295.99 -302.75 -308.68 -312.75 -315.79 -325.05 -326.74 -332.32 -340.89 -345.16 -350.69 -358.54 -363.59 -366.29 -371.92 -379.88 -383.38 -388.29 -397.08 === -405.40 -412.93 -420.49 -423.70 === -438.81 === -450.38 -452.75 -458.98 -462.95 -472.81 -476.92 === -485.96 -491.77 -499.75 -505.17 === -517.71 -520.51 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === -101.25 -104.62 -112.94 -116.62 -119.30 -123.23 -130.13 -138.10 -141.16 -150.36 -156.70 -155.95 === === === === === === === -205.80 -210.54 -214.52 -218.39 -228.01 -230.16 -235.17 -245.36 -246.53 -254.45 -262.28 -266.95 -274.12 -280.09 -280.51 -290.66 -295.62 -300.38 -303.20 -312.82 -318.28 -325.25 -330.45 -335.61 -340.91 -344.72 -348.98 -356.71 -363.71 -370.05 -371.99 -380.69 -387.05 -390.30 -397.59 -399.90 -405.59 -414.56 -418.56 -424.71 -430.36 -435.25 -443.55 === -456.12 -460.70 -462.53 -470.04 === === -486.99 -495.86 -498.61 -504.58 -508.81 -515.72 -519.55 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -123.13 -127.59 === === === -155.02 -156.26 === === === === === === === === -211.46 -212.32 -217.70 -227.19 -232.09 -234.32 -240.96 -247.37 -253.94 -256.33 -264.89 -273.34 -274.46 -281.87 -289.33 -295.30 -298.04 -306.03 -311.80 -316.20 -323.02 -329.43 -331.83 -340.15 -346.07 -351.30 -357.90 === -365.66 === === === -389.91 === -398.50 -409.25 === === === -431.05 === === === === === === === === === === === === === === -516.04 -521.29 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -116.52 -121.26 === -136.47 -138.79 === === -158.49 === -166.54 === === === === === === === === -220.47 -225.12 -231.61 -235.93 -240.86 -245.25 -255.15 -260.69 -261.84 -267.28 -276.85 -282.37 -289.72 === === -305.42 -309.27 -318.22 -318.42 -327.30 -329.88 -336.80 -344.54 -347.31 -354.13 -363.25 === === === === === -397.73 === -409.38 === === === === === -441.75 === === -457.48 === === === -481.43 === === -497.03 -505.27 === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === -97.90 === === === -123.22 === -135.13 -140.44 === === === === -169.20 -171.94 === === === === === === === === -226.12 -230.91 -237.65 -242.93 -246.85 -250.66 -256.80 -266.61 -271.51 -273.73 -279.85 -284.16 -294.87 -297.50 -306.21 -312.05 -314.63 -320.32 -323.87 -329.89 -338.97 -342.74 -347.26 -354.51 -363.44 -368.20 -373.40 === -386.27 === -395.00 === -407.70 === -420.15 === === === === === === === === === === === === === === -502.27 === === -520.10 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -139.13 -141.15 -150.04 -154.32 -158.86 -163.90 -173.31 -177.78 -181.50 === === === === === === === -230.48 -232.69 -242.14 -248.61 -253.00 -259.27 -260.91 -266.87 -272.55 -280.90 -287.93 -289.36 -299.40 -300.80 -309.59 -315.41 -320.14 -327.15 -329.27 -340.43 -343.19 -350.77 -353.65 -357.82 -366.49 -374.48 -377.00 -383.48 === -395.68 -403.03 -406.84 -413.96 === === === === === === === === -462.46 === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -131.03 -140.17 -142.60 === -157.44 -160.57 -166.24 -169.87 -180.27 -181.35 -186.63 === === === === === === === -236.90 -243.01 -247.91 -254.41 -255.11 -260.86 -268.00 -275.50 -278.38 -286.48 -291.03 -294.97 -301.34 -309.37 === -318.32 -325.50 -331.29 -334.56 -344.82 -346.47 -356.93 -360.77 -364.91 -372.04 -375.42 -382.30 -391.54 -395.35 -399.97 -406.67 === === === === -432.13 === -445.35 === === -461.86 === === === === === === -500.75 === === -519.08 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -139.92 -141.80 === === -160.68 -167.86 -172.68 -175.25 -181.17 -186.00 -193.89 === === === === === === === -242.13 -245.49 -252.73 -258.76 -260.94 -266.84 -273.29 -279.26 -287.07 -290.54 -297.77 -303.15 -309.12 -316.24 -320.11 -322.96 === -336.66 -343.90 -345.87 -355.94 -360.18 -363.34 -369.13 -375.61 -381.09 -387.35 -396.31 -401.00 -403.94 === === === === === -442.78 === === -454.38 === === === -482.74 === === === === === === === === === 
