=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -103.24 -106.15 -110.68 -119.62 -124.42 -126.20 -132.44 -137.72 -141.63 -147.04 -149.91 -156.66 === === === === === === === === -204.49 -209.72 -211.10 -215.42 -224.26 -229.41 -231.10 -238.31 -241.67 -247.84 -251.80 -259.00 -262.28 === -272.82 -280.21 -285.93 -290.08 -293.14 -300.73 -305.39 -309.68 -316.80 -318.86 -325.08 -331.62 -337.76 -342.85 -344.81 -350.15 -358.53 -364.83 -368.59 -371.92 -377.54 -385.36 -390.30 -392.58 -400.16 -401.74 -407.44 -412.98 -418.55 -423.77 -430.36 -433.68 -442.21 -444.12 === -457.85 -462.34 -468.40 -469.16 -476.67 -481.97 -486.99 -493.28 -496.16 -501.11 -506.16 -511.94 -515.57 -521.01 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -102.36 -105.65 -112.79 -115.78 -122.02 -126.90 -128.04 -135.61 -140.95 -145.35 === -155.56 -158.78 === === === === === === === === -206.66 -211.93 -214.20 -223.40 === -235.20 -235.44 === -246.33 -252.96 -258.00 -262.16 -268.91 -275.40 -279.90 -283.41 === === -299.64 === === === === === === === === === === === === === === === === === === === === -406.98 === === === === === === -446.63 === === === === -471.88 === -483.31 -488.57 -492.53 === === === === -519.72 -520.90 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -100.48 -103.03 -110.89 -115.16 -119.19 -125.83 -130.88 -136.22 -136.63 -143.49 -147.68 -153.22 -158.13 -162.79 === === === === === === === === === -215.58 -222.09 -227.56 -234.17 -237.30 -243.43 -244.85 -253.88 -257.42 -263.83 -268.74 -273.70 -279.40 -281.70 -288.00 === -297.63 === === === === === === -334.51 -340.87 === === === === === === -376.48 === === === === === === === === === === -435.17 === -443.80 === -456.82 -460.58 -468.11 === === -479.83 === === === === === === === -520.29 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -98.22 === -105.34 -114.42 -118.86 -124.65 -128.58 -133.93 -139.36 -144.03 -145.97 -154.93 -158.22 -162.29 -167.82 === === === === === === === === === -222.76 -226.97 -230.54 -236.46 -240.13 -248.96 -253.64 -258.00 -259.77 -268.70 -270.30 -278.07 -280.92 -288.82 -293.19 -296.87 -304.03 === === === -325.43 === -336.36 === === -349.16 === === === === === === === === === === -410.35 === -419.70 === === === === === -449.50 === === === === === -482.39 === === -497.03 -499.31 -507.38 -511.87 -517.79 -519.92 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -96.35 -103.70 -105.39 -112.40 -116.88 -121.24 -128.08 -134.82 -137.22 -142.72 -146.93 -150.47 -159.20 -163.19 -165.98 -174.21 -177.65 === === === === === === === === -227.91 -233.11 -237.30 -241.29 -244.00 -249.49 -255.58 -264.36 -265.16 -271.61 -275.08 -282.50 -288.21 -294.36 -296.54 === -307.50 === === === === === === === === === === === === -377.67 === === -392.38 === === === === === === -426.29 === -437.28 -445.49 === === === === -468.69 === -481.71 === -490.07 === -503.63 -508.92 === -518.74 -520.15 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -97.12 -98.24 -107.01 -112.73 -115.26 -120.81 -123.42 -128.60 -138.99 -141.12 -147.53 -151.69 -159.11 -161.33 -170.00 -175.11 -178.09 -182.21 === === === === === === === === -231.61 -233.77 -241.69 -244.12 -248.46 -257.81 -263.62 -266.81 -270.57 -279.56 -283.42 -286.28 -291.04 -296.13 -301.48 === === === -322.71 -331.01 -336.48 === === === === === === -371.81 -374.48 -379.21 === -389.57 === -403.99 -404.76 -414.41 === -421.17 === -430.91 -441.14 === === === === === === === === === -492.56 === -499.58 === === -518.83 -520.35 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -96.40 -101.54 -104.41 -112.26 -115.99 -122.63 -123.74 -132.57 -136.84 -143.43 -145.32 -153.07 -155.31 -161.12 -165.91 === === === === === === === === === === === === === -242.30 -246.28 -249.25 -257.80 -258.58 -263.89 -273.22 -275.54 -279.42 -286.51 -290.57 -299.75 -300.92 -307.52 -312.59 -319.40 === -326.97 -336.49 -338.85 === === -356.93 -360.49 -364.05 -372.04 === -381.12 === -392.02 -398.33 -401.15 -406.31 -410.23 === -420.70 === === === === === === === === -469.41 -476.34 -482.04 === -489.95 -494.55 -498.47 === === -517.81 -520.43 === === 
