=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -101.21 -104.91 -112.36 -116.73 -119.83 -121.59 -127.41 -132.11 -136.85 -138.86 -143.06 -148.33 -150.98 -156.05 === === === === === === === === === === -205.67 -207.84 -214.29 -218.00 -223.04 -226.08 -229.88 -233.49 -238.23 -242.99 -248.15 -253.78 -259.00 -260.37 -266.60 -268.07 -274.60 -279.32 -284.88 -288.15 -292.36 -295.08 -302.75 -303.65 -311.44 -312.73 -320.49 -324.41 -328.47 -333.33 -334.77 -339.64 -344.03 -350.15 -352.06 -356.22 -362.77 -365.80 -371.92 -375.02 === === -388.12 === === -401.72 -406.47 -412.10 === === === === -434.99 === -442.97 -447.94 === === === -465.81 -469.05 === === -484.03 -485.76 === === === -504.57 -510.04 === -519.12 -521.43 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -101.62 -104.72 -111.20 -114.41 -117.13 -121.01 -129.01 -130.72 -134.81 -137.83 -141.74 -149.00 -151.98 -155.16 === === === === === === === === === === -205.89 -207.47 -212.93 -217.31 -220.62 -227.78 === === === -243.41 -249.90 -254.45 -258.36 -262.28 -263.40 -269.39 -274.51 -280.41 -284.82 -285.26 -292.95 -294.57 -299.62 -303.50 -307.70 -312.27 -316.06 -323.12 -326.00 -332.93 -334.00 -341.29 -342.59 -348.15 -353.36 -360.04 -363.98 -368.27 -369.62 -376.72 -381.90 -386.53 -390.30 -391.23 -397.90 === -407.44 -410.08 -415.44 === -422.29 -430.36 === === -443.48 -448.43 === === -459.82 === === === === === -486.99 -490.98 -495.69 -498.97 -505.13 -508.20 -511.35 -515.93 -520.94 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -99.27 === === === -118.27 === === === === === === === === -155.76 -158.20 === === === === === === === === === === -207.92 -213.88 -214.22 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -386.93 === === === === === === === === === === === === === === === === === === -471.88 === === === === === === === === === === -518.99 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -98.88 -100.38 === === === === === === === === === === === === -158.31 -163.03 === === === === === === === === === === === -215.35 -221.76 -222.72 === === === === === === === === === === === === === === === === === === === === === -323.02 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -520.52 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -98.34 -98.90 === === === === === === === === === === === === -160.03 -163.52 -167.92 -168.92 === === === === === === === === === === -221.59 -225.61 -228.74 === === === === === === === === === === === === === === === === -302.59 === === === -319.27 === === === -336.80 === === === === === -367.44 === === === === === === === === === === === -417.63 === === === === === === === === === === === === === === === === === === === === === === -520.58 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -97.66 -98.07 === === === === === === === === === === === === === === -168.22 -169.82 -173.42 === === === === === === === === === === -224.75 -228.19 -231.24 === === === === === === === === === === === === === === === === === === === === -326.71 -329.10 -335.87 === -343.76 === === === === === === === === === -385.92 -392.47 === === === === === === === === === === === === === === === === === === === === === === -494.34 === === === === -518.06 -518.33 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -96.84 -97.13 === === === === === === === === === === === === === === === -171.89 -174.49 -178.19 -180.78 === === === === === === === === === -227.93 -231.72 -234.97 -239.44 === === === === === === === === === === === -291.91 === === === === === -318.46 === === -335.47 === === === -350.75 === === === === === === -381.84 === -389.64 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -520.15 === === === 
