=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -125.96 === === === === === -155.35 === === === === === === === === === === -205.80 -208.28 -214.80 -221.30 -223.25 -229.13 -234.27 -238.82 -244.35 -248.29 -251.80 -259.00 -260.59 -267.91 -270.97 -279.08 -283.11 -287.86 -292.02 -295.38 -299.17 -306.09 -310.20 -316.60 -317.96 -322.01 -331.21 -331.77 -337.88 -342.36 -350.15 -355.25 -358.17 -364.83 -365.00 -371.92 -377.24 -381.77 -387.66 -390.91 -395.63 -402.51 -407.44 -411.45 -415.02 -420.30 -426.14 -427.68 -432.62 -440.23 -443.29 -447.92 -451.85 -459.41 -464.82 -466.23 -473.28 -475.58 -483.29 -486.43 -490.98 -498.45 -500.94 -504.29 -510.54 -517.33 -517.92 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -206.70 -208.91 -213.26 === === === -233.62 -239.68 -242.60 === -253.47 === -261.66 -268.91 === -276.02 -279.48 === === === === === === -316.20 -318.08 -323.91 -329.98 === -339.61 === -345.84 -354.40 -357.54 -362.66 -367.14 -369.52 -375.93 -379.28 -384.76 -390.30 -394.47 -400.72 -403.00 -409.09 -414.66 -418.29 -423.56 -427.51 -433.18 -437.89 -442.74 -446.38 -454.84 === === === -470.22 === -481.75 -486.57 -489.23 -497.28 === -504.37 -512.01 -514.96 -520.37 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -214.97 -216.70 === === === === === === === === === === === === === === === === === === -307.58 === === -323.57 === === === === === === === === === === === -380.75 -383.63 === === === -406.42 -407.14 === -419.53 -425.87 === -431.22 === === === -454.63 === -460.69 === === -476.73 === === === -495.23 === === === -514.07 -521.08 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -221.49 === === === === === === === === -267.21 === === -277.90 === === === === === === === === -325.46 -329.88 === === === === === === === === -370.88 === === === === === -399.96 === -411.24 === -418.02 === === === === -442.32 === -450.56 === -461.58 === === === === -484.30 === -497.03 === -506.15 === === -521.19 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -99.46 === === === === === === === === === === === === === === === === === === === === === === === === === -224.29 -227.14 === === === === === === === === === === === === === === === === === -311.43 === === === === === -343.76 === === === === === === -375.74 === -385.73 === === -396.80 === === -412.77 -417.14 === === -433.59 === === -445.83 === === === === === === === === === === -497.54 === === === -519.75 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -230.06 -235.29 === === === === === === === === === === === === -296.12 === -310.03 === === === === -332.60 === === === -350.77 === -360.46 === -371.07 -374.11 -381.84 === -389.99 === -396.88 -405.15 -408.88 -414.85 === === -429.05 === -436.81 -441.00 -445.02 === === === === === -475.57 === === -490.19 -494.62 -498.34 === === === -519.25 === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -236.60 -241.63 === === === === === === === === === -289.68 === === === === -313.55 === === === === -336.93 === === -351.23 === === === === -376.60 -378.06 -386.62 -386.95 === === -405.60 === -413.58 === -423.20 -425.86 === === === === === === -462.75 -463.49 === === === -485.84 -490.61 -494.09 === === === -513.70 -517.99 === === === 
