-731.28 -520.49 -520.41 -522.31 -526.14 -533.55 -539.07 -558.96 === -592.10 -618.68 -622.08 -652.91 -689.72 -694.11 
-517.19 === -44.28 -58.69 -101.76 === === -219.83 -255.09 -279.96 -323.02 -374.84 -398.88 -426.09 -499.17 
-511.04 === === === === === === === -254.20 -299.49 -331.71 -353.80 -390.00 -443.28 -480.57 
-506.01 === === -64.31 === === -179.15 -222.47 -260.00 -297.70 -325.10 -345.91 -415.10 -435.16 -464.18 
-524.99 === === === === === -186.59 -206.64 -266.80 -303.30 -330.11 -370.66 -393.01 -448.53 -482.37 
-532.71 === === === === === -200.29 -226.55 === -318.74 -344.14 -374.86 -432.22 -446.58 -491.99 
-530.16 === === === === === === -263.34 -306.36 -325.41 -376.04 -411.04 -420.43 -478.26 -518.97 
-557.62 === === === === === === -272.10 === -351.83 -387.66 -418.48 -433.01 -477.28 -505.27 
-564.86 === === === -244.70 === === === -345.23 -359.21 -393.77 -419.69 -470.03 -481.35 -529.42 
-566.60 === === -286.49 === === === -345.84 -360.93 -410.39 -410.78 -457.48 -471.64 === -571.39 
-600.58 === -339.74 === === === === === === === -433.76 -497.91 -522.53 === -569.54 
-626.25 === -340.23 -347.58 === === === === === === -478.95 -504.46 -533.81 === === 
=== === === === === === === === === === -525.58 -534.68 -576.83 === === 
=== === === === === === === === === === -552.70 -577.74 -580.30 -641.39 === 
-702.89 === === === === === === === === === === -597.56 === === === 
