=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -56.36 === === === -43.09 -43.69 -48.17 -51.88 === === -66.92 === === === === === === === === === === === === === === === -207.07 -220.77 -223.00 -230.25 -241.86 -254.45 -258.36 -274.00 -283.64 -285.95 -295.30 -306.56 -313.61 -328.65 -333.77 -344.81 -350.15 -367.09 -371.92 -378.77 -391.55 -400.39 -405.28 -420.94 -429.09 -438.74 -442.56 -455.20 -459.98 -477.03 -480.14 -490.98 -498.10 -508.40 -515.46 === 
=== === === === === === === -39.83 -41.47 === -49.23 === === -65.66 === === === -100.60 === === === === === === === === === === === -204.25 -214.51 === === === -252.59 === === === === === -309.83 -312.46 -323.02 -335.13 -346.88 -355.86 -361.92 -369.16 -377.39 -390.30 -399.14 -405.68 -418.05 -424.37 -432.77 -445.95 -450.73 -460.70 -468.11 -479.81 -492.99 -496.45 -511.99 -515.99 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -217.51 -221.43 -227.98 -244.88 === === === === === === === -313.56 -319.91 -336.43 === === === -372.02 -377.49 -388.00 -401.07 -406.47 -418.46 -424.45 -430.29 -440.01 -450.32 -460.58 === -484.02 -490.65 -497.74 -510.14 -520.90 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -226.31 -232.11 -238.29 === -258.26 === === === -297.16 -302.86 -315.89 === -335.50 -337.80 -350.07 -356.26 -371.40 -381.84 -385.14 -395.48 -410.93 -413.63 -425.47 -437.32 -441.25 -454.37 -461.98 -469.02 -481.83 -486.87 -495.64 -508.78 -517.88 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -243.29 -250.21 === === === === -292.73 === === -323.73 -334.12 -344.51 -346.92 -359.22 -369.78 -382.10 -386.36 -392.99 -404.15 -416.80 -427.55 -436.08 === -450.76 -459.48 -470.34 -481.62 -488.42 -496.14 -506.38 -517.87 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -251.15 -258.02 -264.14 === -290.13 -298.01 -302.11 -310.26 -326.07 -333.99 -342.05 -348.28 -360.35 -367.52 -379.79 -390.00 -393.62 -405.18 -417.11 -426.57 -438.00 -445.99 -454.22 -461.99 -469.99 -481.66 -488.04 -494.84 -511.80 -517.99 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -263.91 -274.81 === -295.93 -300.70 -314.38 === === -344.88 -349.83 -360.94 -371.78 -379.95 -384.61 -396.72 -404.51 -411.61 -422.86 -437.90 -443.03 -448.52 -458.08 -467.96 -482.74 -486.63 -502.91 -506.23 -517.91 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -276.64 -288.69 -296.86 === === -319.50 === -340.91 -348.69 -356.02 -371.30 -377.94 -388.64 -394.55 -402.11 -412.14 -428.59 -432.87 -443.37 -452.16 -465.49 -474.07 -484.61 -488.17 -501.76 -507.01 -518.23 === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -288.74 -296.66 -307.62 -317.54 === === -341.31 -351.56 -364.77 -370.66 -383.81 -387.63 -398.91 -408.68 -418.15 -424.73 -430.91 -448.17 -450.64 -460.84 -474.75 -480.38 -492.82 -499.27 -504.56 -514.50 === 
