-734.90 -520.85 -517.38 -519.43 -520.19 -520.04 -523.78 -526.79 -536.38 -535.69 -548.23 -554.49 -559.51 -567.61 === === === -618.21 === -650.29 -654.32 -679.02 -698.12 -705.34 -728.55 
-519.12 -57.34 -46.72 -43.93 === -69.90 === -112.57 -130.08 === === -205.17 -215.40 -231.83 -271.16 -285.75 -314.27 -343.65 -371.92 -379.92 -402.86 -427.70 -460.46 -479.43 -505.96 
-518.45 -52.49 -25.15 -16.03 -24.93 -62.52 === === === === === === -228.18 -232.29 -274.89 -300.27 -309.67 -333.33 -348.97 -377.15 -406.84 -434.36 -449.97 -488.32 -493.80 
-517.99 -42.09 === -6.89 -27.39 === === === === === === === === -250.21 -258.02 -296.55 -320.18 -342.05 -354.55 -390.00 -401.33 -442.46 -453.66 -473.99 -508.11 
-520.46 === === -17.35 === === === === -134.76 === === === === === -272.67 -299.67 -300.69 -343.32 -352.15 -384.71 -418.22 -423.07 -448.50 -479.93 -503.63 
-520.06 === === === === === === === === === === === === === -262.91 -303.66 -313.49 -331.91 -364.33 -391.32 -401.89 -437.60 -450.93 -478.92 -498.37 
-524.13 === === -67.41 === === === -130.32 === -153.33 === === === === === -305.25 -331.98 -337.16 -377.75 -385.11 -413.37 -439.90 -465.22 -477.67 -497.16 
-526.41 === === === -99.26 === === === -154.82 === -203.16 === === -250.68 -276.58 -304.32 -315.79 -352.74 -362.43 -401.55 -413.87 -428.95 -464.67 -495.59 -522.18 
-531.33 === === -126.02 -129.80 === -136.03 -165.05 === === === === === -270.16 -303.37 -305.65 -333.42 -370.53 -381.49 -395.86 -422.76 -443.26 -466.05 -503.30 -522.48 
-539.40 === === -156.03 === -147.62 === -170.20 === === -219.43 === === -271.93 -305.17 -311.73 -335.50 -369.99 -390.55 -406.37 -425.92 -466.23 -486.59 -504.38 -521.72 
=== === === -175.12 === === === -189.10 === === -245.01 -252.44 -276.17 === === -341.35 -351.79 -388.74 -394.70 -428.04 -439.20 -470.59 -493.09 -508.21 -519.26 
-553.74 === === === === === -212.00 === === -245.61 -245.65 -273.32 -293.01 -309.59 === === -355.74 -394.39 -401.86 -435.69 -441.98 -469.00 -491.94 -502.19 -551.18 
-555.46 === === -213.17 === === === === === -261.59 === -288.48 -307.70 -318.32 -342.14 === -381.28 -402.70 -423.18 -440.84 -460.47 -469.39 -492.19 -533.36 -553.42 
-575.07 -246.04 === -237.37 === === === === === -287.58 === === === -339.15 -349.67 -369.58 === -406.48 -424.27 -451.10 -469.13 -481.42 === -545.59 -553.38 
-575.22 === -275.63 -271.51 === === === === === -303.30 === === -338.88 -357.70 -372.93 -389.38 === -433.25 -440.10 -451.81 -493.63 === -538.69 -554.37 -559.24 
-596.32 === -290.61 -293.25 === === === === === -314.97 -330.41 -337.27 === -373.05 -389.59 -415.61 -421.65 === -459.76 -474.47 -498.76 -505.31 -546.07 -555.40 === 
-598.35 === -311.04 === === === === -331.48 -331.24 -353.28 === -371.21 === -401.97 -414.74 -414.93 -439.38 === -481.51 -503.27 -505.29 -543.01 -555.22 -559.40 -588.45 
-623.55 === -342.25 -341.47 -344.54 -347.11 -348.82 -338.68 === === === -375.23 === -418.60 === -446.29 -459.96 -468.76 -484.08 -516.84 === === -552.85 -581.66 -611.71 
-632.60 === -350.23 -353.83 -355.46 -354.35 === -382.33 === === === -412.02 === === -447.95 -465.27 -480.41 -485.45 -523.53 -530.80 -536.28 -563.48 -576.90 === -614.39 
-638.30 === === === -395.60 === -402.35 -387.62 === === === === -439.94 === === -482.62 -501.44 -508.82 -526.99 -535.98 -573.23 -577.82 -595.40 -625.15 -643.83 
-659.15 === === === === === === === -424.13 === === === -464.75 === === === -513.91 -531.39 -532.92 -567.46 -580.61 -594.10 -618.63 -628.53 === 
-670.47 -429.60 === === -427.69 === -441.58 === -433.89 === === === -490.66 === === -520.50 -527.10 -534.79 -558.06 -574.19 -582.96 -598.23 -624.31 === === 
-682.89 -468.14 === -458.51 -460.15 === -461.07 === === === -484.53 === -498.72 -506.87 -532.78 -540.89 -543.00 -566.56 -584.03 -584.79 -599.27 -622.10 -649.42 === -676.78 
-701.01 -477.96 === === === === -477.07 === === === === === === === -540.17 -555.62 -578.70 === -611.73 === === === === === -707.71 
-730.71 === === === === === === === === === === === === === === === -582.33 -599.54 -622.27 -630.96 === === -693.17 === -718.19 
