-733.94 -520.12 -520.56 -517.13 === -519.89 -521.92 -524.69 -529.86 -537.41 -544.03 -550.70 -562.46 -570.09 -578.45 -597.53 -601.47 -618.16 === -647.69 -664.25 -681.63 -691.14 -705.94 -730.27 
-518.92 -57.69 -50.44 -41.21 === -51.92 === -101.93 -117.27 === === -204.60 -218.80 -245.99 -269.02 -297.34 -315.38 -347.08 -358.05 -391.48 -404.24 -424.52 -456.68 -490.98 -504.00 
-519.50 -54.35 === -18.32 -38.35 -52.67 === -110.16 -115.42 === === === -228.50 -251.28 -264.98 -282.21 -323.02 -336.80 -364.64 -384.94 -409.57 -430.91 -445.57 -491.19 -503.63 
-516.30 === === -7.29 === === === === -131.44 === === -195.65 === -249.50 -273.69 -300.00 -317.98 -345.47 -372.04 -390.00 -407.82 -433.93 -465.99 -484.45 -499.20 
-517.02 === -19.31 === === === === === === === === === === === -275.63 -286.27 -313.16 -346.64 -357.14 -384.60 -408.26 -433.05 -449.71 -475.41 -495.18 
-520.65 -56.44 === === === === === === === === === -200.85 -220.86 -235.83 -255.70 -300.29 -312.18 -330.68 -369.53 -389.84 -407.48 -426.07 -450.14 -473.98 -498.86 
-525.65 === === === === === === -123.45 -145.73 === -180.54 -194.41 -236.34 -245.67 -279.74 -286.64 -333.22 -341.72 -360.35 -388.15 -410.24 -439.17 -456.49 -478.68 -503.30 
-523.30 === === === === === === -134.99 -157.79 === -198.15 === -239.21 -253.78 -279.13 -305.85 -319.99 -337.04 -378.32 -397.26 -406.66 -432.84 -469.67 -488.96 -505.85 
-536.13 === === === === === === === === === === -228.59 === === -303.10 -306.47 -340.25 -364.58 -373.58 -411.03 -424.42 -441.31 -465.31 -493.89 -529.29 
-540.79 -154.78 === === === === === -179.06 -189.05 === -206.13 -227.38 === === -306.24 -327.35 -340.71 -361.37 -383.92 -399.05 -430.57 -451.23 -484.11 -497.92 -530.77 
=== -179.06 === === === === -196.47 -190.84 === === -243.78 === -270.56 === === -337.46 -357.70 -373.55 -395.93 -431.12 -431.76 -457.64 -480.84 -499.54 -516.66 
-556.25 === === === === === -212.75 -199.52 === === === -275.59 -290.17 -303.36 -329.16 === -375.27 -389.18 -406.96 -435.92 -457.16 -480.66 -480.89 -505.85 -551.16 
-560.19 -213.73 === === === === === -235.42 === === === -281.47 -315.08 -323.44 -343.21 -357.08 -384.13 -398.33 -414.38 -439.72 -458.65 -480.91 -493.78 === -556.30 
-576.29 === === === === === -253.99 === -269.61 === === === === -333.27 -360.83 -371.78 === -414.89 -431.15 -448.37 -461.16 -480.27 -524.25 -531.71 -557.59 
-586.95 -263.59 === === === === === === === === === === -336.48 -355.62 -369.27 -400.21 === -432.22 -453.51 -466.62 -478.59 === === -555.20 -556.59 
-587.38 === === === === === === === === === === === -369.64 === -393.93 -422.63 -412.80 === -453.80 -470.06 -495.99 === === -557.40 -571.41 
-609.70 === === === === === === === === === === === === === -401.58 -420.80 -444.39 -460.66 -479.38 -506.64 -522.14 -541.02 -552.74 -570.08 === 
-613.21 === === -344.88 -347.29 -341.01 === === === === === === === === === -452.57 === -472.91 === -510.49 -527.99 === -562.26 -589.62 -604.18 
-631.70 === -365.99 === -349.83 === === === === === === === === === === -463.88 -474.80 -487.23 -501.33 -526.49 -532.10 === === -611.45 -609.57 
-653.22 -383.49 === === === === === === === -416.65 === === === === === === -499.24 -517.94 -533.32 -529.07 -565.08 === -600.84 -610.88 -623.24 
-658.09 -421.69 === === === === === === === === === === === === === === -514.22 -520.80 -552.92 -565.31 -580.24 === -607.24 -641.83 -646.34 
-669.28 === -442.86 === === === === === === === === === === -479.96 -510.55 === === -555.90 -565.22 -582.61 -603.34 -621.26 -631.52 -645.81 -648.92 
-694.25 -468.29 === === === -455.52 === === === === === === === === -511.14 === -548.56 -566.70 -572.49 -589.22 -609.84 -635.19 -653.18 -648.14 -680.45 
-698.56 -471.50 -488.14 === -485.38 -471.97 === === === === === === === === -555.29 -563.38 -582.52 === === -618.57 -630.28 -652.33 -655.75 -690.23 -684.62 
-723.78 -514.68 -509.37 -507.65 -505.64 -499.68 === === === === === === === === === === -579.08 -610.63 === -627.91 -635.00 -653.82 -686.70 -693.60 -701.15 
