-733.66 -520.00 -517.40 -520.28 -518.01 -522.37 -525.79 -528.04 -529.29 -536.64 === === === === === === === -620.94 === -643.61 -658.20 -681.56 -694.59 -710.44 -718.31 
-519.35 === === === === -62.72 === -101.26 === === === -207.81 -217.22 -244.74 -259.00 -291.72 -312.46 -347.51 -362.61 -390.30 -406.52 -431.97 -449.35 -492.65 -497.32 
-516.85 -53.19 === === === === === -98.65 === === === === -223.03 -246.23 -263.17 -284.29 -320.91 -329.88 -371.44 -389.64 -419.49 -424.46 -466.90 -487.51 -508.52 
-517.99 === -23.32 === === === === -95.62 === === === === === -250.65 -274.62 -286.14 -302.16 -342.05 -367.43 -390.00 -403.42 -438.00 -458.00 -477.70 -496.49 
-516.93 === === === === === === === === -137.60 === === === === -275.96 -287.38 -307.49 -334.61 -369.42 -386.47 -407.40 -430.77 -447.58 -472.89 -504.36 
-517.77 -72.09 === === === === === -114.17 === === === -206.15 === -250.18 -279.35 -302.59 -317.77 -328.22 -373.97 -377.81 -405.85 -443.84 -465.44 -476.12 -513.42 
-522.12 === === === === === === === -141.40 -170.52 -194.27 -200.03 -236.36 === -283.27 -288.32 -330.43 -352.62 -357.14 -388.46 -422.58 -438.81 -455.75 -476.42 -505.52 
-527.96 === === === === === === -139.38 -154.48 -177.23 -191.05 -219.55 === -264.78 -282.54 -295.29 -326.79 -350.72 -360.98 -395.77 -430.20 -440.87 -464.43 -495.59 -504.65 
-527.90 -121.51 === === === === === -165.30 -173.35 === === === === === -303.04 -312.03 -341.21 -368.51 -378.39 -414.65 -434.54 -437.39 -477.68 -488.63 -518.93 
-538.33 -159.20 === === === === === -167.58 -172.23 -195.91 === -236.57 === -292.89 -307.72 -320.70 -339.29 -359.33 -382.76 -418.52 -425.26 -462.04 -479.14 -501.15 -525.65 
=== -177.62 === === === === === -208.77 -210.05 === === -239.55 -270.01 === -312.63 -329.88 -349.48 -364.99 -392.98 -417.20 -439.01 -471.66 -491.20 -499.47 -524.82 
-554.05 === === === === === -211.19 -221.21 -213.91 === === -271.41 -291.54 -302.15 -327.72 -350.43 -370.03 -387.38 -393.73 -427.38 -455.88 -474.77 -481.87 -511.58 -548.70 
=== === -213.89 === === === -228.97 -238.72 -240.39 === === === -301.85 -320.23 -331.38 === -373.77 -402.68 -428.44 -444.17 -455.35 -474.00 -490.59 -534.72 -553.75 
=== -233.86 === === === === -246.34 -268.91 -264.89 === === === === -332.62 -362.67 -381.83 === -400.95 -438.62 -443.04 -472.34 -484.74 === -529.08 === 
-581.63 -276.63 -274.32 === === -270.36 -271.54 -287.49 -294.64 === === === -332.31 -369.41 -366.87 === === -431.03 -436.83 -466.92 -473.87 === === -554.98 -560.35 
=== -290.56 === === === -289.21 === -304.64 === === === === === === -392.37 -403.35 === -445.30 -460.28 === === === === -551.15 === 
-606.30 === === === === === === -317.29 === === === === === === -408.44 -415.80 === === -482.03 -484.34 === -531.25 -565.68 -574.02 -602.42 
-615.75 === -325.96 === === -332.04 === === === === === === === === === -446.46 -448.14 -475.45 -497.76 -517.58 === === === -576.69 -604.71 
-637.90 === === === === === === === === === === === === === -434.71 -470.80 -485.95 === -506.20 -525.05 -547.13 === === -603.19 -609.34 
-641.28 -385.16 === === === === === === === === === === === === -469.21 -483.70 -492.59 -509.37 -528.26 -537.38 -571.65 === === -610.58 -632.07 
-665.27 -398.96 === === === === === === === === === === === === === -509.03 -508.23 -542.16 -546.21 -558.13 -582.26 === === -623.58 -656.49 
-669.20 === === === === === === === === === === === === -502.01 === -520.97 -524.16 -561.13 -563.30 === === === -636.40 === -662.31 
-691.20 === === === === === -470.14 === === === === === === === -528.72 -544.11 -540.96 === -570.16 === -615.60 -614.32 === -673.31 -678.62 
-705.24 === === === -484.16 -491.08 -481.86 === === === === === === === === -553.69 -572.90 -593.82 -600.31 -617.05 -635.30 -653.54 === -683.44 -686.57 
-724.64 -512.18 -509.92 -493.70 -494.22 === === === -517.67 === === === === === === === === -619.44 -623.73 -632.52 -647.65 -657.82 -684.60 -700.83 -716.81 
