-733.04 -521.12 -521.55 -518.19 -517.60 -519.69 === === === === -543.70 -554.60 -561.23 -573.93 -576.94 -587.98 === -620.69 === -643.38 === === -686.88 -712.17 -717.07 
-518.68 === -54.39 === === -63.26 === -102.96 === === === -207.04 -223.07 -241.07 -261.66 -293.68 -324.48 -339.40 -355.14 -385.62 -418.22 -439.33 -459.05 -488.99 -497.23 
-519.00 === === === === === === === === === === === -216.46 -230.06 -275.61 -298.04 -303.96 -336.80 -368.21 -389.64 -409.73 -436.90 -446.73 -479.13 -501.02 
-518.29 === === === === === === === === === === === === -250.21 -270.17 -290.25 -308.60 -341.14 -368.14 -390.00 -399.43 -435.22 -456.71 -471.33 -512.85 
-518.11 === === === === === === === === === === === === === -272.67 -289.91 -302.23 -337.04 -360.94 -379.89 -399.23 -435.24 -454.98 -478.82 -513.36 
-523.49 -71.07 === === === === === === === === === === === === === -301.77 -309.35 -344.49 -372.80 -391.97 -421.14 -422.92 -453.31 -487.60 -516.71 
-521.52 === === === === === -95.62 -124.50 === === === === === === === -299.47 -313.52 -342.93 -378.21 -399.74 -424.19 -436.17 -459.12 -475.98 -506.49 
-527.84 -104.83 === === === === === === === === === -217.13 === -261.36 -273.86 -300.28 -323.57 -341.49 -369.99 -400.00 -427.96 -452.34 -464.17 -482.37 -508.96 
-536.13 === === === === === === -166.42 -170.45 -190.10 === -227.32 === -271.43 -305.50 -315.99 -333.85 -357.94 -375.41 -405.41 -434.73 -457.13 -469.62 -493.68 -529.29 
-539.65 === === === === === === -166.84 -194.93 -200.99 === === -246.05 -284.39 -303.41 -322.13 -338.14 -364.98 -394.63 -420.34 -431.66 -453.40 -467.53 -500.46 -529.97 
=== === === === === === === -196.09 -196.15 === -241.26 -254.13 -267.54 -304.24 -300.98 -337.71 -349.78 -373.22 -393.25 -419.53 -447.13 -451.95 -491.16 -496.05 -529.82 
-553.58 === === === -200.27 === === -208.29 -225.51 === === -273.23 -274.40 -297.91 -336.29 -344.15 -352.29 -394.66 -417.20 -425.71 -438.01 -477.51 -495.50 -505.61 -553.52 
-559.14 === === === === === -227.48 -221.03 === === === === === -327.45 -351.33 -361.15 -394.53 -394.82 -410.43 -455.38 -459.56 -477.73 -494.53 -535.30 -551.85 
-565.63 === === === === === === === === === === === === -344.99 -354.00 -381.05 -393.56 -416.36 -437.76 -456.99 -471.26 -480.38 -522.00 -540.21 === 
-577.61 === === === === === === === -281.72 === === === -330.07 -367.62 -371.07 -389.07 -407.93 -439.37 -437.59 -459.98 -490.21 -509.41 -534.49 -535.15 === 
-592.03 === === === === === === === === === === === === === -391.27 -408.50 -412.47 -440.77 -471.90 -481.07 -491.67 -513.92 -533.55 -553.28 === 
-606.15 === === === === === -312.37 === === === === -370.84 === === -420.00 -436.23 -448.10 -459.37 -476.43 -488.92 -511.51 -524.86 -550.33 -569.46 === 
-615.42 === === -342.49 -344.29 === === === === === === === === === === -446.85 -467.66 -465.74 -495.72 -517.77 -539.37 -545.88 -570.45 -586.12 === 
-634.64 === === -367.28 -357.39 === === === === === === === -419.40 === === -456.36 -472.85 -489.33 -506.58 -528.18 -532.42 -550.89 -581.97 -600.97 === 
-648.35 === === === === -375.98 === === -394.09 -421.53 === === === === -460.64 === -486.09 -507.56 -537.49 -545.86 -569.72 -583.30 -601.94 -606.36 === 
-660.92 === === -416.46 === === === === === -419.34 -453.46 === === -484.67 -499.54 -498.91 -511.14 -531.96 -542.76 -558.89 -580.14 -602.14 -616.72 -623.42 === 
-679.83 === === === === === === === === === === === === === -500.93 -525.78 === -535.24 -569.09 -590.02 -591.68 -614.72 -625.15 -633.88 -660.79 
-683.32 -455.00 === === === === === === === -467.21 === === === -520.03 === -539.11 === -569.89 -586.52 -605.73 -601.43 -635.42 -639.68 -667.24 === 
-708.53 === === -469.27 === -480.47 -483.38 === === === === === === === === === === === -604.77 -615.70 -631.93 -645.86 -665.62 -668.89 -698.07 
-720.50 -513.92 === -515.49 -504.26 -499.21 -513.83 -517.56 -515.92 -520.42 === -540.75 -549.71 === === === === -619.90 -617.14 -633.08 === === === -707.11 -713.11 
