-734.97 -518.07 -520.07 -517.28 -518.89 -520.12 -526.36 -526.30 === === === === === === === -591.95 === -621.06 === -641.88 -652.63 -681.32 -692.60 -709.20 -729.00 
-520.46 -58.45 -54.15 -43.89 -43.49 -65.46 === -108.23 === === === -208.38 -230.37 -237.40 -275.32 -280.61 -306.09 -347.19 -358.17 -394.68 -399.09 -440.95 -459.45 -479.43 -512.72 
-519.15 === === -17.67 === -63.92 === === -119.11 === === === -223.27 -249.28 -254.21 -288.96 -317.62 -335.35 -364.91 -396.31 -398.19 -424.10 -458.60 -487.62 -501.36 
-517.99 === === -7.39 -20.05 === === === === === === === === -250.28 -274.78 -289.43 -304.27 -332.35 -348.58 -390.00 -397.24 -437.66 -444.49 -476.96 -494.71 
-519.17 === === -31.26 -37.47 === === === === === === === === === -272.67 -296.33 -304.87 -347.51 -372.00 -380.71 -418.30 -443.15 -450.63 -473.65 -492.70 
-521.48 === === === === === === === === === === -196.52 === === === -300.78 -320.35 -344.47 -371.21 -396.87 -410.39 -437.60 -449.43 -491.08 -495.69 
-522.51 === === === === === === -123.19 === === === === === === === -284.83 -315.41 === -380.98 -398.47 -417.53 -433.48 -456.80 -483.67 -504.50 
-525.27 === === === === === === -140.28 === === === === === === === -310.34 -326.79 -340.95 -374.26 -394.11 -424.53 -445.57 -465.71 -484.02 -507.69 
-536.13 === === === === === === -163.37 === -189.64 === === === === -302.60 -311.94 -328.83 -349.97 -390.24 -407.89 -432.32 -457.50 -476.40 -482.73 -531.63 
-538.78 === === === === === === -166.06 === -193.07 === === === === -305.45 -322.21 -346.33 -365.81 -382.37 -417.27 -437.87 -467.13 -471.04 -491.60 -527.32 
=== === === === === === === -187.90 === -231.76 -241.35 -260.21 -280.89 === === -336.70 -345.10 -373.11 -396.11 -421.38 -439.11 -466.03 -480.65 -507.49 -518.41 
-554.91 === === === === === === === -239.87 -234.53 -242.22 -272.03 -275.73 -305.79 === === -365.64 -373.58 -407.45 -440.88 -444.13 -468.22 -491.72 -506.10 -552.70 
-555.97 === === -207.95 === === === === === === === === -314.44 -326.96 -328.49 === -387.00 -400.06 -423.26 -447.02 -453.37 -488.98 -494.87 -535.22 -554.20 
=== === -247.78 -245.14 === === === -265.41 === === === === === -326.27 -349.86 -378.25 === -413.88 -425.81 -443.00 -472.52 -484.89 -520.51 -547.39 -556.57 
-583.07 === -265.64 -273.76 === === === -288.19 === === === -320.90 === -355.91 -364.28 === === -426.45 -452.42 -466.84 -475.69 -509.27 -525.26 -542.22 -557.53 
=== === -292.69 -298.10 === === === === === === -332.24 === -359.01 -375.72 === -404.95 -424.18 === -454.39 -490.59 -493.87 -534.71 -540.15 -555.00 === 
=== === -308.39 -322.69 === -318.88 === -331.31 === === === === === -384.15 === -430.48 -438.05 === -475.83 -502.32 -509.90 -526.20 -538.61 -566.15 === 
=== === === -324.63 -345.36 === === === === === === === === === === -451.26 -443.01 -475.76 === -516.56 -531.92 -538.15 -571.32 -587.18 === 
=== === -357.04 === === === === === === === === === === === === === -472.71 -486.09 === -530.99 -534.80 -553.81 -585.63 -590.42 === 
-651.80 === === -382.89 === === === === === === === === -430.66 === === === === -494.92 -525.07 === -556.04 -574.11 -603.00 -613.85 === 
-658.31 === -401.53 -419.33 === === === === === === === === === === === -505.23 === === -555.46 === -583.73 -599.76 -609.01 -637.87 -637.40 
-676.01 === === === === === === === === === === === === === === -520.41 -533.42 -557.90 -565.03 -573.62 -610.21 -605.19 -628.69 -639.93 -664.64 
=== -452.58 === -455.42 === === -470.36 -470.26 === === === === === === === === -542.74 === -585.56 -598.10 -612.99 -611.32 -658.20 -661.22 === 
=== -474.20 -490.47 === === -488.05 -489.35 -478.34 === === === === === === === -553.50 === === -597.67 -619.67 -635.54 -632.55 -662.04 -681.79 -693.71 
-726.97 -515.79 -493.10 -497.81 === === === -504.38 === === === === === === === === -592.15 -614.76 -621.93 -633.44 -650.88 -662.35 -681.81 -695.64 -723.61 
