## Generation 0 
{'collision': 10, 'dist_obj': -520.2835622389586, 'robot_pos': [55.54228210449219, 580.2644653320312, 2.785398244857788], 'exit_reached': 0.0}
{'robot_pos': [60.0, 450.0, -2.8146021366119385], 'collision': 0, 'dist_obj': -390.0, 'exit_reached': 0.0}
{'collision': 10, 'exit_reached': 0.0, 'dist_obj': -350.1533519112904, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'dist_obj': -394.65733198251, 'collision': 10, 'robot_pos': [20.076820373535156, 452.6328430175781, 3.074331283569336], 'exit_reached': 0.0}
{'dist_obj': -277.88342501508157, 'collision': 9, 'robot_pos': [17.191665649414062, 334.5662841796875, -2.8146021366119385], 'exit_reached': 0.0}
{'collision': 10, 'exit_reached': 0.0, 'dist_obj': -218.68654349532363, 'robot_pos': [18.010597229003906, 274.6175537109375, -2.014601945877075]}
{'dist_obj': -392.99770051612865, 'collision': 0, 'robot_pos': [62.65849685668945, 452.98870849609375, 1.702213168144226], 'exit_reached': 0.0}
{'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'collision': 10, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0}
{'dist_obj': -350.1533519112904, 'collision': 10, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'exit_reached': 0.0}
{'collision': 10, 'exit_reached': 0.0, 'dist_obj': -350.1533519112904, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433]}
{'robot_pos': [58.1309814453125, 577.986328125, 1.5853981971740723], 'collision': 10, 'dist_obj': -517.989700046997, 'exit_reached': 0.0}
{'collision': 0, 'dist_obj': -390.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423], 'exit_reached': 0.0}
{'dist_obj': -517.9072871294441, 'collision': 10, 'robot_pos': [65.60530853271484, 577.876953125, -1.6146018505096436], 'exit_reached': 0.0}
{'dist_obj': -517.9072871294441, 'collision': 10, 'robot_pos': [65.60530853271484, 577.876953125, -1.6146018505096436], 'exit_reached': 0.0}
{'dist_obj': -536.1344456175963, 'collision': 10, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433], 'exit_reached': 0.0}
{'collision': 10, 'dist_obj': -536.1344456175963, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433], 'exit_reached': 0.0}
{'collision': 103, 'exit_reached': 0.0, 'dist_obj': -414.943079088459, 'robot_pos': [16.55821990966797, 472.66278076171875, -1.6008390188217163]}
{'collision': 10, 'exit_reached': 0.0, 'dist_obj': -250.2097053844477, 'robot_pos': [53.8691520690918, 310.13458251953125, -1.6146018505096436]}
{'dist_obj': -536.1344456175963, 'collision': 10, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433], 'exit_reached': 0.0}
{'collision': 10, 'dist_obj': -350.1533519112904, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'exit_reached': 0.0}
{'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'collision': 10, 'dist_obj': -350.1533519112904, 'exit_reached': 0.0}
{'collision': 0, 'exit_reached': 0.0, 'dist_obj': -390.0, 'robot_pos': [60.0, 450.0, -1.8977867364883423]}
{'dist_obj': -390.0, 'collision': 0, 'robot_pos': [60.0, 450.0, -2.8146021366119385], 'exit_reached': 0.0}
{'dist_obj': -350.1533519112904, 'collision': 10, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'exit_reached': 0.0}
{'collision': 0, 'exit_reached': 0.0, 'dist_obj': -309.5825270561114, 'robot_pos': [85.8988037109375, 368.497314453125, -2.180971622467041]}
{'dist_obj': -439.3450854897231, 'collision': 0, 'robot_pos': [100.6543960571289, 497.4600830078125, -2.432307481765747], 'exit_reached': 0.0}
{'robot_pos': [293.7939147949219, 388.5430908203125, -0.8784916996955872], 'collision': 10, 'dist_obj': -403.23709789762563, 'exit_reached': 0.0}
