## Generation 0 
{'dist_obj': -390.0, 'collision': 0, 'robot_pos': [60.0, 450.0, -1.8977867364883423], 'exit_reached': 0.0}
{'dist_obj': -390.0, 'collision': 0, 'robot_pos': [60.0, 450.0, -1.8977867364883423], 'exit_reached': 0.0}
{'dist_obj': -350.1533519112904, 'collision': 10, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'exit_reached': 0.0}
{'dist_obj': -350.1533519112904, 'collision': 10, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'exit_reached': 0.0}
{'dist_obj': -254.13498983652667, 'collision': 10, 'robot_pos': [16.770198822021484, 310.4311828613281, -1.723319411277771], 'exit_reached': 0.0}
{'dist_obj': -536.1344456175963, 'collision': 10, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433], 'exit_reached': 0.0}
{'dist_obj': -525.9293077140014, 'collision': 10, 'robot_pos': [141.16497802734375, 579.6286010742188, 1.1853982210159302], 'exit_reached': 0.0}
{'dist_obj': -350.1533519112904, 'collision': 10, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'exit_reached': 0.0}
{'dist_obj': -350.1533519112904, 'collision': 10, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'exit_reached': 0.0}
{'dist_obj': -350.1533519112904, 'collision': 10, 'robot_pos': [17.573604583740234, 407.57354736328125, 0.7853981852531433], 'exit_reached': 0.0}
{'dist_obj': -536.1344456175963, 'collision': 10, 'robot_pos': [190.10777282714844, 580.1077880859375, 0.7853981852531433], 'exit_reached': 0.0}
{'dist_obj': -280.2232775456469, 'collision': 10, 'robot_pos': [16.759231567382812, 336.8669738769531, -1.780971646308899], 'exit_reached': 0.0}
{'dist_obj': -267.20527439098333, 'collision': 10, 'robot_pos': [18.014137268066406, 323.88604736328125, -2.8146021366119385], 'exit_reached': 0.0}
{'dist_obj': -390.0, 'collision': 0, 'robot_pos': [60.0, 450.0, -1.8977867364883423], 'exit_reached': 0.0}
{'dist_obj': -390.0, 'collision': 0, 'robot_pos': [60.0, 450.0, -1.8977867364883423], 'exit_reached': 0.0}
{'dist_obj': -390.0, 'collision': 0, 'robot_pos': [60.0, 450.0, -2.8146021366119385], 'exit_reached': 0.0}
{'dist_obj': -390.0, 'collision': 0, 'robot_pos': [60.0, 450.0, -1.8977867364883423], 'exit_reached': 0.0}
{'dist_obj': -488.9946230624509, 'collision': 0, 'robot_pos': [213.82281494140625, 524.1705322265625, -0.014601826667785645], 'exit_reached': 0.0}
