=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === 10.00 === === === === 10.00 === === === === === === === === === 10.00 10.00 === === === === === === === === === === === === === === 10.00 === === === === === === === === 10.00 10.00 9.00 10.00 10.00 9.00 10.00 113.00 10.00 10.00 10.00 14.00 10.00 9.00 25.00 9.00 8.00 10.00 10.00 10.00 === 9.00 === === 10.00 10.00 10.00 9.00 10.00 10.00 === 10.00 === === 10.00 7.00 === === === === === === === === === === === === === === 10.00 10.00 10.00 10.00 === === 
=== === === 10.00 213.00 === === === === === === === === === === === === === 10.00 === 10.00 === === === === === === === === === === === === === === === === === === === === === === === 10.00 10.00 8.00 10.00 === 0.00 0.00 === === === === 10.00 === 0.00 === 10.00 10.00 === 10.00 0.00 10.00 10.00 10.00 10.00 === 9.00 10.00 10.00 === 10.00 10.00 === 10.00 === === 10.00 === === === === === 0.00 === === === === === 10.00 === === === === === 10.00 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 9.00 === === === 0.00 0.00 0.00 0.00 === === === === === === === === === 0.00 === === === === === === === === === === === === === === === === 0.00 === === === === === 0.00 === 0.00 === === === === === 0.00 === === 10.00 === === 
=== === === === === === === === === === === === === === === === === === === === 10.00 === === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 10.00 === === === === 0.00 === === === 0.00 === === === === === === === === === === === === === 0.00 === === === === === === === === === === === === === 0.00 0.00 === === === === 0.00 === === === === === 10.00 === === 
=== === === === === === === === === === === === === === === === === === 0.00 === === === === === === === 10.00 10.00 === === === === === === === === === === === === === === === === === === === === 10.00 === === === === === === === === === === === === === === === === === === === === === === === 0.00 0.00 === === === === === === === === 0.00 === === 0.00 === 0.00 === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 0.00 === === === === === === === === === === === === === === 0.00 0.00 === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 0.00 === === === === 0.00 0.00 === === === === === === === === === === === === 0.00 === === === === === 0.00 === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 10.00 === === === === === === === === 0.00 0.00 === === === 0.00 === 0.00 === 0.00 === === 0.00 0.00 0.00 === === === === === === === 0.00 === === === === === === === 0.00 === === === === === 10.00 === === 
